template_key,task_key,label,default_priority,sort_order,active
CAL_LET_GRAPH_WORKFLOW,LAMINATE,Laminate,MEDIUM,4,TRUE
CAL_LET_GRAPH_WORKFLOW,PLOTTER_CUT,Plotter Cut,MEDIUM,5,TRUE
CAL_LET_GRAPH_WORKFLOW,WEED,Weed,MEDIUM,6,TRUE
CAL_LET_GRAPH_WORKFLOW,TRANSFER_TAPE,Apply Transfer Tape,MEDIUM,7,TRUE
CAL_LET_GRAPH_WORKFLOW,PREP_VEHICLE,Prep Vehicle,HIGH,8,TRUE
CAL_LET_GRAPH_WORKFLOW,INSTALL,Install,HIGH,9,TRUE
CAL_LET_GRAPH_WORKFLOW,QUALITY_CHECK,Quality Check,HIGH,10,TRUE
CAST_GRAPH_BULK_WORKFLOW,FINALIZE_DESIGN,Finalize Artwork/Design,HIGH,1,TRUE
CAST_GRAPH_BULK_WORKFLOW,PRINT,Print,MEDIUM,2,TRUE
CAST_GRAPH_BULK_WORKFLOW,OUTGAS,Outgas,LOW,3,TRUE
CAST_GRAPH_BULK_WORKFLOW,LAMINATE,Laminate,MEDIUM,4,TRUE
CAST_GRAPH_BULK_WORKFLOW,HAND_CUT,Hand/Table Cut (if needed),LOW,5,TRUE
CAST_GRAPH_BULK_WORKFLOW,PREP_VEHICLE,Prep Vehicle,HIGH,6,TRUE
CAST_GRAPH_BULK_WORKFLOW,INSTALL,Install,HIGH,7,TRUE
CAST_GRAPH_BULK_WORKFLOW,QUALITY_CHECK,Quality Check,HIGH,8,TRUE
VAN_INSERTS_WORKFLOW,FINALIZE_DESIGN,Finalize Artwork/Design,HIGH,1,TRUE
VAN_INSERTS_WORKFLOW,PRINT,Print,MEDIUM,2,TRUE
VAN_INSERTS_WORKFLOW,OUTGAS,Outgas,LOW,3,TRUE
VAN_INSERTS_WORKFLOW,LAMINATE,Laminate,MEDIUM,4,TRUE
VAN_INSERTS_WORKFLOW,PLOTTER_CUT,Plotter Cut (Template),MEDIUM,5,TRUE
VAN_INSERTS_WORKFLOW,MARK_SIDES,Mark Driver/Passenger Side,MEDIUM,6,TRUE
VAN_INSERTS_WORKFLOW,PACKAGE,Package for Transport,MEDIUM,7,TRUE
VAN_INSERTS_WORKFLOW,PREP_VEHICLE,Prep Vehicle,HIGH,8,TRUE
VAN_INSERTS_WORKFLOW,INSTALL,Install,HIGH,9,TRUE
VAN_INSERTS_WORKFLOW,QUALITY_CHECK,Quality Check,HIGH,10,TRUE
CUT_VINYL_WORKFLOW,FINALIZE_DESIGN,Finalize Artwork/Design,HIGH,1,TRUE
CUT_VINYL_WORKFLOW,PLOTTER_CUT,Plotter Cut,MEDIUM,2,TRUE
CUT_VINYL_WORKFLOW,WEED,Weed,MEDIUM,3,TRUE
CUT_VINYL_WORKFLOW,TRANSFER_TAPE,Apply Transfer Tape,MEDIUM,4,TRUE
CUT_VINYL_WORKFLOW,PREP_VEHICLE,Prep Vehicle,HIGH,5,TRUE
CUT_VINYL_WORKFLOW,INSTALL,Install,HIGH,6,TRUE
CUT_VINYL_WORKFLOW,QUALITY_CHECK,Quality Check,HIGH,7,TRUE
